code,county,area,date,time,places,file
,MERU,GATANGA,Tuesday 19.08.2025,8.00 A.M. – 5.00 P.M.,"['Igoki Dispensary', 'Mutea Iringo', 'Kiringo Boys High Sch', 'Kathuri Mkt', 'Nkabune Girls', 'High Sch', 'Nkabune TTC', 'Ngugwe', 'Gugwe C/Fact', 'Ntani Pri Sch', 'Kanjagi Mkt', 'Karimuga Pri Sch', 'Karimautine Pri Sch', 'Runywene Pri Sch', 'Gaitu Mkt', 'Gaitu Police', 'Stn', 'Nkuene Pri Sch', 'Kaguma Mkt', 'Chaaria Mkt', 'Mbanjone Mkt', 'Ruchoro', 'Cottolengo Mission Hosp', 'Nguucia', 'Kaare Mkt', 'Sarovina', 'Njuthine', 'Gacuru &', 'adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,MERU,"NTUGI, KIIRUA, GITORO",Thursday 21.08.2025,8.00 A.M. – 5.00 P.M.,"['ATC Tower -Kiborione', 'Meru Central Kiirua', 'Ntugi Sec Sch', 'Muthengene Village', 'Afia Millers', 'Three Steers Hotel', 'Meru National Polytechnic', 'Whole of Gitoro', 'Rocky', 'Area -Bellavista', 'Kwa Kamau', 'Wason Sawmills', 'Mboroga', 'Machaka Slums', 'Kiirua', 'Mission Hosp', 'Njeru Industries', 'Marinya', 'Ntugi Mkt', 'Kiirua Technical', 'Kiirua Mkt', 'Mitoone', 'Gatwe', 'Munithu Sec', 'Kambiti Pri Sch', 'Kambiti Mkt', 'Kienderu Mkt', 'Kiruai', 'C/Fact', 'Kogoacheke', 'Kaaga', 'Elsa Hotel', 'Consolata Mission Hospital Gitoro', 'Kamabakia', 'Cool Breeze', 'KCB Makutana', 'Sa faricom BTS Makutano', 'Amara', 'Nevada & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,KIAMBU,"NDUMBOINI, UTHIRU",Thursday 21.08.2025,9.00 A.M. - 5.00 P.M.,"['Ndumboini Mkt', 'UON Kabete Vet', 'Uthiru 87', 'Uthiru Girls', 'Njathaini', 'Kanyariri Mkt', 'Kanyariri Police & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,KIAMBU,"GATUNDU HOSPITAL, PARTS OF KENYATTA ROAD",Tuesday 19.08.2025,9.00 A.M. - 5.00 P.M.,"['Kamau Muigai', 'Chuka Village', 'Mutomo Pri', 'Kenyatta’s Resident', 'Githaruru', 'Gatundu High', 'Mararo Village', 'KPLC Offices', 'Gatundu Water', 'Tembo Feeds', 'Mbunje', 'Gatundu Hosp', 'Gatundu Mkt', 'St. Jude Hosp', 'Muthiga Girls', 'Gatundu', 'Technical', 'Mukinyi Mkt', 'Muthiga C/Fact', 'PCEA Marima', 'Ituru High', 'Muthurumbi', 'High', '2010 Village', 'Gaithece', 'Wamwangi Mkt', 'Karabara Village', 'Kamunyu A & B', 'Village', 'Githuya Village & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,KIAMBU,"JUJA, MANGU ROAD",Thursday 21.08.2025,9.00 A.M.  - 5.00 P.M.,"['Mungetho', 'Mirimaini', 'Kiaora Farm', 'Nchengo Farm Mtaro Farm', 'Kariki Farm Bob', 'Harries', 'Kijito', 'Mashule Est', 'Karakuta Est', 'Gachibi Farm', 'Kwa Ndumbe', 'Kirai', 'Mutuma Mkt', 'Gitatuiiya', 'Mangu', 'Igegania', 'St. Francis Mangu Girls', 'Kairi', 'Kagabwa', 'Gatukuyu', 'Kawira', 'Alla n Dashi', 'Diana Farm', 'Kihenia Farm', 'Kigio Mkt', 'Oriti Farm', 'Runyua Farmers', 'Karibaribi', 'Kirika Farm', 'Uzima Centre', 'Bubbles', 'Maryhill Girls', 'Eagadds Farm & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,KITUI,"JUJA, MANGU ROAD",Tuesday 19.08.2025,9.00 A.M. - 5.00 P.M.,"['Kakoongo', 'Kora', 'Mivukoni', 'Tseikuru', 'Kaningo', 'Usueni', 'Kamisiliu', 'Mikauni', 'Wikithuki', 'Mamamalia', 'Kaivairya', 'Masyungwa', 'Ivonangya', 'Katse', 'Kimangao', 'Mbangwani', 'Muvinge', 'Mikwa & adjacent customers.', 'COAST REGION']",01K2P78RAN74262NZS75AAQSVC.pdf
,MOMBASA,"WHOLE OF SHANZU, BAMBURI",Sunday  17.08.2025,9.00 A.M. – 5.00 P.M.,"['Whole of Shanzu', 'Bamburi Special Products', 'Bamburi Staff Quarters', 'Serena', 'Dolphine', 'Flamingo', 'Kilua', 'Shaza', 'Shimo la Tewa Pri & Sec', 'Sunset Paradise', 'Pride', 'Inn Paradise', 'Shanzu Garden Est', 'Shanzu Water', 'Bamburi Airstrip', 'Shanzu Bush', 'Jolarabi', 'Zawadi Apts', 'Braeburn Sch', 'Shanzu Beach Homes', 'Shanzu Law Courts', 'Shanzu TTC', 'Mamangina', 'Ocean View', 'Whitesands', 'Severine', 'Plaza Beach', 'Kero', 'Port', 'Utange Village', 'Bamburi Beach', 'Pirates', 'Travelers', 'Ocean View', 'Bamburi', 'Fisheries', 'Vescon 1 & 2', 'Lakeview', 'Bashir Mosqu e', 'Ajanta Est', 'Mishomoroni', 'Anwar Alli', 'Matingasi', 'Naivas Bamburi', 'Nyali Plaza', 'CTM', 'Millele', 'Jumeirah', 'Baobab', 'Kingston', '1st to 4th Avens Nyali', 'Malindi Rd', 'KRA', 'NITA', 'Links Garden Est', 'Nyali Shree Links Est', 'Bohora Apts', 'Bella Plaza', 'Bombolulu Est', 'Kwa Bullo Est', 'Mwatamba Police Stn', 'Mwembeni Stage', 'JCC', 'Majaoni', 'Utange', 'Kiembeni Blue &', 'Green Est', 'Ugatuzi', 'Kajiweni', 'Junda', 'Kashani', 'B amburi Mwisho', 'Mlaleo', 'Mtopanga', '& adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,MOMBASA,RONALD NGALA ROAD,Tuesday  19.08.2025,9.00 A.M. – 5.00 P.M.,"['Buxton', 'MM Shah', 'Railways Club', 'Bridge Hotel', 'Blooming Birds Academy', 'JCC', 'Church', 'Shell Ronald Ngala', 'Naivas Tudor', 'High Life', 'Petro & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,MOMBASA,"MKOMANI, ENGLISH POINT",Tuesday  19.08.2025,9.00 A.M. – 5.00 P.M.,"['Part of Fidel Odinga Rd', 'Mkomani', 'Chandarana Ask Showground Tamarind', 'Captain Andy', 'English Point', 'Mama Ngina Drive', 'Cresent Homes', 'Palm Investment', 'Greenwood Drive', 'Jomo Kenyatta Rd & adjacent customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,KILIFI,PARTS OF MALINDI,Tuesday  19.08.2025,9.00 A.M. – 5.00 P.M.,"['Baricho Water', 'Kakoneni Town', 'Jilore', 'Kakoneni Sec', 'Pishi Mwenga & adjacent', 'customers.']",01K2P78RAN74262NZS75AAQSVC.pdf
,KILIFI,"MARAFA, SABAKI",Thursday  21.08.2025,9.00 A.M. – 5.00 P.M.,"['Mambrui Town', 'KBC Marekebuni', 'Marafa', 'Garashi', 'Wakala', 'Karibuni Villas', 'Beach', 'Bay', 'Mwembe Resort', 'Savannah', 'Mijikenda Residence', 'Angels Bay', 'Sabaki &', 'adjacent customers.', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Power Maintena nce Notice', 'Notice is hereby given under R ule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate', 'maintenance and upgrade of power lines to the network; to connect new', 'customers or to replace power lines during road construction', 'etc.)']",01K2P78RAN74262NZS75AAQSVC.pdf
,NAIROBI,RANGWE ROAD,Sunday 10.11.2024,9.00 A.M. – 5.00 P.M.,"['Rangwe Rd', 'Paperplast Ltd', 'Royal Swiss Bakery', 'Kay Lift Services', 'Rangwe', 'Close', 'Chandaria Industries', 'Jojo Tanks', 'Trans Africa Paper Mills & adjacent', 'customers.']",01JC3E4SK6Z5PR3C5XKKSFVXW1.pdf
,NAIROBI,WHOLE OF KAMPALA RD,Sunday 10.11.2024,9.00 A.M. – 5.00 P.M.,"['Part of Kampala Rd', 'ABM', 'Breweries Malting', 'Kamongo', 'Ketepa', 'Chloride Exide', 'Dodhia Packaging', 'Ryce East Africa', 'Nairobi Water & Sewerage', 'UDV', 'Kenya', 'Marbles & adjacent customers.']",01JC3E4SK6Z5PR3C5XKKSFVXW1.pdf
,KAKAMEGA,MATAWA,Sunday 10.11.2024,9.30 A.M. – 5.30 P.M.,"['Matawa Mkt', 'Matawa Village', 'Ebukamba', 'Lureko Complex', 'Matawa H/Center', 'Lureko Industrial Park', 'Ebukabala & adjacent customers.']",01JC3E4SK6Z5PR3C5XKKSFVXW1.pdf
,KAKAMEGA,EWAMAHUMBI,Saturday 16.11.2024,9.30 A.M. – 5.00 P.M.,"['Ewamahumbi', 'Ematiha Mkt', 'Shikoti Mission', 'Tumaini Pry', 'Esumeiya', 'Eshihoni', 'Mwanga ECDE & adjacent customers.']",01JC3E4SK6Z5PR3C5XKKSFVXW1.pdf
,KAKAMEGA,MALAVA,Sunday 17.11.2024,9.00 A.M. – 5.00 P.M.,"['Malava Mkt', 'Kimanget Mkt', 'Kakoi Mkt', 'Kambi Mwanza Mkt', 'Carbon Footprint', 'Factory & adjacent customers.']",01JC3E4SK6Z5PR3C5XKKSFVXW1.pdf
,KISUMU,MILIMANI,Sunday 10.11.2024,9.00 A.M. – 3.00 P.M.,"['Royal Swiss Hotel', 'Milimani Shopping Centre', 'American Embassy', 'Nightingale', 'Hospital & adjacent customers.']",01JC3E4SK6Z5PR3C5XKKSFVXW1.pdf
,KISUMU,KANO,Sunday 10.11.2024,9.00 A.M. – 3.00 P.M.,"['Nyamasaria', 'Ragumo', 'Kadete', 'Nyangande', 'Ahero Mkt', 'Trida Factories', 'Korowe', '& adjacent customers.']",01JC3E4SK6Z5PR3C5XKKSFVXW1.pdf
,KISUMU,"KAITHE, LAARE, MAUA",Saturday 09.11.2024,8.00 A.M. – 5.00 P.M.,"['Kaithe', 'Nyambene', 'Kianjai', 'Ruiri', 'Kwa Koome', 'Muthara', 'Njiru', 'Meru University', 'Muriri', 'Karama', 'Kangeta', 'Laare', 'Mutuati', 'Maua Town', 'Kabachi', 'Kiegu', 'Kiutene', 'Kinna', 'Garbatulla', 'China State', 'Benane', 'Kulamawe & adjacent customers.']",01JC3E4SK6Z5PR3C5XKKSFVXW1.pdf
,EMBU,"TENRI HOSPITAL, NCPB",Saturday 09.11.2024,8.00 A.M. – 5.00 P.M.,"['Riva Petrol Stn', 'Vieznina', 'Tenri Hospital', 'Gerish', 'NCPB', 'GK Prisons & adjacent', 'customers.']",01JC3E4SK6Z5PR3C5XKKSFVXW1.pdf
,KIAMBU,"KIANDUTU, KAHAWA BORA, CHANIA FEEDS, PARTS OF",Sunday 10.11.2024,9.00 A.M. - 5.00 P.M.,"['Kiandutu', 'Kiandutu Health Centre', 'Broadway Juca Workshop', 'Pump Site Fact', 'Kahawa Bora', 'Jungle Nut Chania Feeds', 'Kevian Industries', 'Ken Blest', 'MRM', 'Polysack', 'St Mulumba Hosp', 'Ben Med', 'KVM', 'Part of Capwell & adjacent', 'customers.', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Power Maintenance Notice', 'Notice is hereby given under R ule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate maintenance and', 'upgrade of power lines to the network; to connect new customers or to replace power', 'lines during road construction', 'etc.)']",01JC3E4SK6Z5PR3C5XKKSFVXW1.pdf
,NAIROBI,PART OF PARKLANDS,Sunday 10.08.2025,9.00 A.M. – 5.00 P.M.,"['Part of Limuru Rd', '1st', '2nd & 3rd Parklands', 'General Mathenge', 'Ring Rd', 'Eldama', 'Ravine Rd', 'Kusi Lane', 'Suswa Rd', 'Ngao Rd', 'Jaralam Rd', 'Sivachi Rd', 'Mpaka Rd &', 'adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,NAIROBI,PART OF PARKLANDS,Tuesday 12.08.2025,9.00 A.M. – 5.00 P.M.,"['Parklands Rd', 'Ojijo Rd', 'Wambugu Rd', 'Muthithi Rd & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,NAIROBI,PART OF JOGOO ROAD,Thursday 14.08.2025,9.00 A.M. – 5.00 P.M.,"['Jogoo Td. from Likoni roundabout', 'Buru Buru Ph. 5', 'Makadara Law Courts', 'Uhuru', 'Market and adjacent customers']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,NAIROBI,PANGANI,Friday 15.08.2025,9.00 A.M – 5.00 P.M.,"['Pangani Shopping Centre', 'Chai Rd', 'Forest Rd & adjacent customers']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,NAIROBI,"NASRA, KAYOLE, SPINE ROAD",Thursda y 14.08.2025,8.00 A.M. – 5.00 P.M.,"['Mama Lucy Hosp', 'Naivas  S/Mkt', 'Nasra Est', 'Sosion Est & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,MACHAKOS,PARTS OF SYOKIMAU,Saturday 09.05.2025,9.00 A.M. – 12.00 P.M.,"['Bizrock Quarry', 'Bluestone Quarry & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,MAKUENI,KOLA,Wednesday 13.08.2025,9.00 A.M. – 5.00 P.M.,"['Kilala', 'Ukiah', 'Mukuyuni', 'Nziu', 'Kyambalasi', 'Utangwa Kivani', 'Kali & adjacent', 'customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,NAKURU,PARTS OF NAIVASHA,Sunday 10.08.2025,9.00 A.M. - 4.00 P.M.,"['Fai Amarillo', 'Lower & Upper Kayole', 'Laini', 'Nyamathi', 'Kinungi', 'Roka Industries', 'Keroche Brewery', 'Kinamba', 'Maraigushu', 'Nyondia', 'Karate', 'Gatamaiyu', 'Livewire', 'NYS', 'DCK', 'Fish Eagle Inns', 'Oserian', 'Nyakinyua Farm', 'Kongoni', 'Sulmac', 'Goldsmith', 'Maela', 'Home Grown', 'VE GPRO', 'Naivasha County Club', 'Ndabibi', 'Kamuta Farm', 'Biojule & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,BOMET,KAPKOROS,Monday 11.08.2025,9.00 A.M. - 4.00 P.M.,"['Tirgaga T/Fact', 'Kapkoros T/Fact', 'Ndaraweta T/Fact', 'Ndaraweta Technical', 'Aisaik', 'Sec', 'Bondet Mkt', 'Kapkoros Mkt', 'Mataima Mkt', 'Teganga', 'Singorwet & adjacent', 'customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,TRANS NZOIA,"MILIMANI, SHIMO LA TEWA",Wednesday 13.08.2025,9.00 A.M. – 5.00 P.M.,"['Milimani', 'Kitale Hosp', 'Crystal Cottage Hosp', 'Gallie', 'Natembeya Foundation', 'Milimani Booster', 'Shimo Latewa & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,NANDI,"LESSOS TOWN, SOCHOI, LOLDUGA",Monday 11.08.2025,9.30 A.M. – 5.00 P.M.,"['Lessos Town', 'Lake Victoria Water Board', 'Sochoi Boys', 'Sochoi Girls', 'Koisagat Pri', 'Lolduga Pri', 'Sigilai Polytechnich', 'Barekeiywo Village', 'Kapnyemis Sec & adjacent', 'customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,NANDI,OLLESOS TECHNICAL,Wednesday 13.08.2025,9.30 A.M. – 5.00 P.M.,"['Ollesos Technical', 'Timbilil', ""Cheptuing'eny & adjacent customers."", 'WEST ERN REGION']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,KISUMU,KANYAKWAR,Sunday 10.08.2025,9.00 A.M. – 2.00 P.M.,"['Olago Aluoch', 'St. Paul’s Parish', 'Rural Academy', 'Kanyakwar', 'Riat', 'Francisca', 'Sisters', 'Apunda', 'Rural Access Camp & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,KISUMU,"MEGA CITY, KACHOK",Sunday 10.08.2025,8.00 A.M. – 5.00 P.M.,"['Manyatta', 'Mega City', 'Total Nairobi Rd', 'Kachok', 'Rubis Kachok', 'Kisumu Poly &', 'adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,VIHIGA,"ESIBUYE, EBUBAYI, ESIRAMBATSI",Sunday 10.08.2025,9.00 A.M. – 4.00 P.M.,"['Esibuye', 'Mwilonje', 'Ebusiratsi', 'Mundichiri', 'Ebukhaya', 'Ebusiloli', 'Magada', 'Esiembero', 'Ingidi', 'Ebubayi', 'Ikumu', 'Echichibuli', 'Esirambatsi H/Center & adjacent', 'customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,KISII,"GESUSU, MASIMBA",Thursday 14.08 .2025,9.00 A.M. – 5.00 P.M.,"['Gesusu Mkt', 'Moi Gesusu High Sch', 'Nyayo Ward', 'Kiomiti', 'Geteri', 'Riochungo', 'Masimba Mkt & Hosp', 'Bonyakoni', 'Metembe', 'Ramasha', 'Ekona Getengereirie', 'Olemilili & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,NYERI,"KIAMWATHI, GIAKANJA",Monday 11.08.2025,8.00 A.M. – 5.00 P.M.,"[""Ruring'u Stadium"", 'Redcourt', 'Classic', ""Chorong'i C/Fact"", 'Muberethi', 'Giakanja Mkt', 'Giakanja Sec Sch', 'Giakanja C/Fact', 'Kiunyu', 'Kahigaini', ""Chief's Area"", 'Ithenguri', 'Kigwandi C/Fact', 'Karurumo Mkt', 'Ikumbo & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,NYERI,"MUKURWEINI, ICHAMARA",Tuesday  12.08.2025,8.00 A.M. – 5.00 P.M.,"['Kimondo Mkt', 'Kihuti Mkt', 'Kiangondu Mkt', 'Thangathi Mkt', 'Kiuu Mkt', 'Ujamaa Mkt', 'Mbugua Mkt & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,NYERI,GATONDO,Wednesday 13.08.2025,9.00 A.M - 5.00 P.M.,"['Gatondo Mkt', 'Itundu', 'Gachuguina', 'Kiawaiguru', 'Muthuthiini & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,NYERI,"KIAMUTURI, KAIRO",Thursday 14.08.2025,8.00 A.M. – 5.00 P.M.,"['Kiamuturi Mkt', 'Hon. JJ Kamotho Farm', 'Kairo Mkt', 'Kamagogo Mkt', 'Kasarani', 'Magomano & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,NYERI,"MURUGURU, GITHIRU, KIAMUIRU.",Friday 15.08.2025,8.00 A.M. – 5.00 P.M.,"['Githiru Mkt', 'Kiamuiru', 'Kiamuiru Safaricom Booster', 'Satima Millers', 'Mugwathi', 'Gardens', 'Ngibuini & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,EMBU,KOIMUGO,Wednesday  13.08.2025,8.30 A.M. – 4.30 P.M.,"['Koimugo', 'Sunmoon', 'Jerusalem', 'Njukiri Pri', 'Kenya Forest Njukiri', 'Kiangatunyi &', 'adjacent customers.', 'For further information', 'contact', 'the nearest Kenya Power office', 'Interruption n otices may be viewed at', 'www.kplc.co.ke', 'Power Maintenance Notice', 'Notice is hereby given under Rule 27 of the Electric Power Rules', 'That the electricity supply will be interrupted as here under:', '(It is necessary to interrupt supply periodically in order to facilitate maintenance and', 'upgrade of power lines to the network; to connect new customers or to replace power', 'lines during road construction', 'etc.)']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,MERU,"KAITHE, GITHONGO, MPURI",Monday 11.08.2025,8.00 A.M. – 5.00 P.M.,"['Kaithe', 'Bible Baptist', 'Kinoru Minors', 'Chief Ikunyua', 'Irinda', 'Kirogine', 'Ntakira', 'Kianjuri C/Fact', 'Kianjuri Dispendary', 'Kainginyo Mkt', 'Kainginyo Boarding', 'Riiji', 'C/Fact', 'Kinjo Mkt', 'Kinjo Sec', 'Kianthimbi', 'Hydro PSP', 'Whole of Mpuri', 'Kianthumbi', 'Katheri Mkt', 'Ki jijone', 'Kathiranga Mkt', 'Kathiranga Dispensary', 'Githongo T/Fact', 'St.', 'Theresas Pri & Sec', 'Githongo Mkt', 'Karugwa', 'Gancheke', 'Kibaranyaki Dispensary', 'Gikuune', 'Muli', 'Muruugi Pri', 'St. Karoli Lwanga', 'Katheri Boys', 'Katheri Girls &', 'adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,MERU,"MAUA TOWN, LAARE, ATHI",Tuesday 12.08.2025,8.00 A.M. - 5.00 P.M.,"['Maua Town', 'Athi', 'Kimongoro', 'Igembe T/Fact', 'Kiegoi T/Fact', 'Athiru Gaiti', 'Luluma', 'Nyambene  Hosp', 'Methodist Hosp', 'KWS', 'Kiengu', 'Kinna', 'Garbatulaa', 'Kula Mawe', 'Kiutine', 'Karichu', 'Kaboito', 'Rhino Camp', 'Kangeta Prison', 'Njia Boys', 'Kathelwa', 'Laare', 'Mutuati', 'Kabachi', 'K.K Mkt', 'Antuabetwe', 'Kamukunji', 'China State Buulu &', 'adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,MURANGA,EQUITORIAL NUT PROCESSORS,Tuesday 12.08.2025,9.00 A.M. - 5.00 P.M.,"['Equitorial Nut Processors', 'Afrimac', 'Kaharati Mkt', 'Muthithi Sec Sch', 'Wamahiga Sec', 'Sch', 'Igiriro Mkt & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,THARAKA NITHI,"KATHWANA, CIAKARIGA",Thursday 14.08.2025,8.30 A.M. – 5.00 P.M.,"['Kathwana Mkt', 'Kathwana County HQtrs', 'Kajiampu', 'Komarockk Hosp', 'Matiri Mkt', 'Kamarandi', 'St. Osora', 'Kithiori', 'Nkururuni', 'Marimanti  Prison  & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,KIAMBU,"LORETO GIRLS, TIGONI POLICE",Tuesday 12.08.2025,9.00 A.M. - 5.00 P.M.,"['Karanjee', 'Loreto Girls', 'Tigoni Hosp', 'Tigoni Police', 'Limuru Golf Club', 'Brown', 'Cheese', 'Muguga Pyrethrum', 'Kabuki', 'St. Paul University', 'Redhill Heights', 'Solvein', 'Suites', 'One Redhill', 'Wet Farm', 'St. Julian’s', 'Tropical Heat Karura', 'Munyaka &', 'adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,KIAMBU,"BYPASS KAMAKIS, GREENSPOT, VERSITY VILLE",Thursday 14.08.2025,9.00 A.M. - 5.00 P.M.,"['Gatong’ora kwa Chief', 'Part of Sunrise Est', 'Fairview', 'Ebenezer', 'Key West', 'Bypass', 'Exit 11', 'Kinetica', 'Bamboo Street', 'Quickmart 1 & 2', 'Navas S/Mkt', 'Galana Petrol', 'Shell Bypass', 'Bypass Corner', 'Part of Northland', 'Green Valley Est', 'Silicon Valley', 'Wisdom Towers &  adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,KITUI,"MULUTU, KAVISUNI, KANYANGI",Tuesday 12.08.2025,9.00 A.M. - 5.00 P.M.,"['Mulutu Mkt', 'Unyaa', 'Tiva', 'Kavisuni', 'Katulani', 'Kanyangii', 'Kanyangii & adjacent', 'customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,KITUI,"KATHUNGI, KYENIMA, SIMBA",Wednesday 13.08.2025,9.00 A.M. - 5.00 P.M.,"['Kathungi', 'Silanga', 'Kyeni', 'Masimba', 'Kanyangii', 'Kanyongonyo', 'Kangukangu &', 'adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,KITUI,"NGENGEKA, KALIKUVU",Thursday 14.08.2025,9.00 A.M. - 5.00 P.M.,"['Ngengeka Mkt', 'Kavuta', 'Mangina Mkt', 'Kalikuvu Mkt & adjacent customers.', 'COAST REGION']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,KWALE,PARTS OF SAMBURU,Thursday 14.08.2025,9.00 A.M. – 5.00 P.M.,"['Samburu Town', 'Vigurungani', 'Banga', 'Mwakijembe', 'Kinagoni', 'Silaloni & adjacent', 'customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,KILIFI,PARTS OF MALINDI,Tuesday 12.08.2025,9.00 A.M. – 5.00 P.M.,"['Kwa Chocha', 'Malindi Airport', 'Malindi High', 'Takaye', 'Thalata Meli', 'Bawazir', 'Kizingo', 'Stage ya Mkikuyu', 'Continental Home & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,KILIFI,PARTS OF MALINDI,Tuesday  12.08.2025,9.00 A.M. – 5.00 P.M.,"['Billionaire Resort', 'Malindi Navy', 'Tropical Village', 'Blue Key', 'Marine Park', 'Karima', 'Muyeye', 'Metro', 'Bush Baby', 'Mayungu & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,TANA RIVER,"MLILO, NGONGODINYI",Thursday  14.08.2025,9.00 A.M. – 5.00 P.M.,['Whole of Mlilo & Ngongodinyi & adjacent customers.'],01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,TANA RIVER,VOI,Thursday  14.08.2025,9.00 A.M. – 5.00 P.M.,"['Whole of Voi Town', 'Kariokor', 'Mwakingali', 'Juakali', 'Bondeni & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,MOMBASA,"MIRITINI, BONJE",Friday 15.08.2025,9.00 A.M. – 5.00 P.M.,"['Miritini Est', 'Doshi', 'Maganda', 'Mbuyu wa Chapa Bonje & adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,MOMBASA,"PORT REITZ, MIGADINI",Tuesday  12.08.2025,9.00 A.M. – 5.00 P.M.,"['Portriz Hosp', 'PS12', 'KMTC', 'SGR Line 2', 'Rubis Changamwe', 'Migadini', 'Magongo  &', 'adjacent customers.']",01K2C4D1CQHWJV0PJM3ZX22S2K.pdf
,NAIROBI,PART OF EASTLEIGH,Sunday 30.06.2024,9.00 A.M. – 5.00 P.M.,"['Mohammed Yusuf Haji Ave', 'I smail Hassan', 'Moyale Mall', 'Sirare', 'Taran', 'Pumwani', 'Hosp', 'California', 'Care Hosp', 'Mabruk & adjacent customers.']",01J1FA2JXK3QNX0PM6YAP0P3T2.pdf
,NAIROBI,"KYANGOMBE, SYOKIMAU",Sunday 30.06.2024,9.00 A.M.  – 5.00 P.M.,"['Inland Container Deport (I CD)', 'Kyang’ombe', 'Heavy Engineering', 'Tile &', 'Carpet', 'Kings', 'Atlantis Business Park', 'Walstreet Business Park', 'Powergen', 'Renewable Energy', 'Vimit Converters', 'Sanden Intercool (K)', 'Enyon Ltd', 'Hasbah', 'Kenya', 'Pili Trade Centre', 'Posh Auto Body', 'Jumbo Chem', 'Alpha Cent re', 'Ramtons', 'Tuskys HQtrs', 'Steel Makers', 'Manchester Outfitters', 'REA', 'Nice & Lovely', 'Prime', 'Cartons', 'Ocean Group', 'Kenbro', 'Saj Ceramics', 'Patmos', 'Laneeb Plastics', 'Chemical', '& Solvent', 'Nyoro Construction', 'Kenbelt', 'KenGen Godowns', 'Label Converters', 'SGR', 'Part of M ombasa Rd & adjacent customers.']",01J1FA2JXK3QNX0PM6YAP0P3T2.pdf
